title,author(s),average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres
gulliver's travels / a modest proposal,jonathan swift/jesse gale,3.79,9781416500391,eng,416,2161,50,8/1/2005,Simon  Schuster,['fiction']
empire 2.0: a modest proposal for a united states of the west (terra nova),xavier de c./xavier de c./joseph rowe,4.67,9781556434952,eng,144,3,0,5/4/2004,North Atlantic Books,[]
the bostonians,henry james/r.d. gooder,3.59,9780192834423,eng,504,85,12,7/23/1998,Oxford University Press,"['fiction', 'historical fiction', 'classic literature', 'feminism']"
novels 1896–1899: the other house / the spoils of poynton / what maisie knew / the awkward age,henry james/myra jehlen,4.28,9781931082303,eng,1035,25,4,3/10/2003,Library of America,"['fiction', 'short stories', 'literature', 'historical fiction']"
novels 1901–1902: the sacred fount / the wings of the dove,henry james/leo bersani,4.63,9781931082884,eng,713,27,3,2/2/2006,Library of America,"['fiction', 'short stories', 'literature', 'historical fiction']"
complete stories 1892–1898,henry james/john hollander/david bromwich,4.22,9781883011093,eng,958,198,7,1/1/1996,Library of America,"['fiction', 'travel', 'history', 'literature']"
the canterbury tales,geoffrey chaucer/nevill coghill,3.49,9780140424386,eng,504,168559,2365,1/30/2003,Penguin Classics,"['death', 'fiction', 'english literature', 'poetry', 'short stories', 'collections', 'classic literature', 'biography']"
the canterbury tales,geoffrey chaucer/david  wright,3.49,9780192833600,eng,465,257,22,7/9/1998,Oxford University Press,"['death', 'fiction', 'english literature', 'poetry', 'short stories', 'collections', 'classic literature', 'biography']"
the canterbury tales (original-spelling edition),geoffrey chaucer/jill mann,3.49,9780140422344,enm,1254,792,59,4/7/2005,Penguin Classics,"['death', 'fiction', 'english literature', 'poetry', 'short stories', 'collections', 'classic literature', 'biography']"
chaucer's canterbury tales (selected): an interlinear translation,geoffrey chaucer/vincent foster hopper,3.8,9780812000399,eng,530,73,5,12/31/1977,Barrons Educational Series,['poetry']
oxford guides to chaucer: the canterbury tales,helen  cooper,4.02,9780198711551,eng,456,84,4,5/23/1996,Oxford University Press  USA,[]
love visions,geoffrey chaucer/brian stone,3.61,9780140444087,eng,272,70,6,5/26/1983,Penguin Classics,[]
chaucer's canterbury tales,geoffrey chaucer,3.49,9780671475024,eng,383,36,5,1/28/1964,Washington Square Press,[]
the riverside chaucer,geoffrey chaucer/larry dean benson/f.n. robinson,4.18,9780395290316,enm,1327,7760,152,12/12/1987,Houghton Mifflin,"['poetry', 'english literature']"
the portable chaucer,geoffrey chaucer/theodore morrison,3.86,9780140150810,eng,611,70,8,5/26/1977,Penguin Books,"['science', 'technology', 'english literature', 'poetry']"
salt: a world history,mark kurlansky,3.74,9780142001615,eng,484,50335,3012,1/28/2003,Penguin Books,"['history', 'nonfiction']"
salt in his shoes: michael jordan in pursuit of a dream,deloris jordan/kadir nelson/roslyn m. jordan,4.2,9780689834196,eng,32,1178,173,11/1/2003,Simon  Schuster Books for Young Readers,"['fiction', 'basketball']"
the book of salt,monique truong,3.52,9780618446889,eng,261,4411,629,6/15/2004,Mariner Books,"['fiction', 'history', 'cooking', 'historical']"
cities of salt (مدن الملح #1),abdul rahman munif/peter theroux,4.13,9780394755267,eng,627,856,105,7/17/1989,Vintage,"['fiction', 'literature']"
the years of rice and salt,kim stanley robinson,3.73,9780553580075,eng,763,9344,995,6/3/2003,Bantam Books,"['fiction', 'science fiction']"
illuminations: essays and reflections,walter benjamin/hannah arendt/harry zohn/leon wieseltier,4.29,9780805202410,eng,288,9254,194,1/13/1969,Schocken,"['literature', 'philosophy', 'criticism', 'german literature']"
saul steinberg: illuminations,saul steinberg/joel smith/charles simic,4.51,9780300115864,eng,288,39,5,11/1/2006,Yale University Press,[]
advanced global illumination,philip dutre,4.5,9781568813073,eng,366,17,2,8/30/2006,A K PETERS,[]
snow falling on cedars,david guterson,3.83,9780747546559,eng,404,588,46,10/21/1999,Bloomsbury Publishing PLC,"['fiction', '20th century']"
the lost boy (dave pelzer #2),dave pelzer,4.1,9781558745155,eng,331,52028,2513,8/1/1997,Health Communications Inc,"['biography', 'nonfiction', 'fiction']"
real boys: rescuing our sons from the myths of boyhood,william s. pollack/mary pipher,3.83,9780805061833,en-US,480,1397,128,5/10/1999,Owl Publishing Company,[]
microserfs,douglas coupland,3.88,9780007179817,eng,371,442,38,1/1/2008,Harper Perennial,['fiction']
new media language,jean aitchison/diana m. lewis,3.0,9780415283045,eng,209,2,0,5/22/2003,Routledge,"['literary criticism', 'nonfiction']"
the denial of death,ernest becker/sam keen/daniel goleman,4.16,9780684832401,eng,336,6599,635,5/8/1997,Free Press,"['death', 'psychology', 'mythology']"
a people's history of the united states,howard zinn,4.08,9780060838652,eng,729,167321,4711,8/2/2005,Harper Perennial,"['history', 'united states']"
a people's history of the united states,howard zinn/kathy emery/ellen gordon reeves,4.08,9781565848269,eng,619,39,3,7/1/2003,The New Press,"['history', 'united states']"
a people's history of the united states: the civil war to the present,howard zinn/kathy emery/ellen gordon reeves,4.0,9781565847255,eng,496,22,0,8/1/2003,The New Press,[]
graphic design: a concise history (world of art),richard hollis,4.0,9780500203477,en-US,232,675,12,5/17/2002,Thames  Hudson,['history']
immigrant acts: on asian american cultural politics,lisa lowe,4.0,9780822318644,eng,272,206,9,10/21/1996,Duke University Press Books,"['theory', 'history']"
the old way of seeing: how architecture lost its magic - and how to get it back,jonathan hale,3.92,9780395740101,eng,256,81,12,9/1/1995,Mariner Books,['architecture']
e=mc²: a biography of the world's most famous equation,david bodanis,4.09,9780425181645,eng,337,6368,321,10/1/2000,Berkley Trade,"['nonfiction', 'science']"
passionate minds,david bodanis,4.1,9780307237200,en-US,373,717,112,10/10/2006,Crown Publishing Group (NY),['biography']
christian mythmakers: c.s. lewis  madeleine l'engle  j.r.r. tolkien  george macdonald  g.k. chesterton  charles williams  dante alighieri  john bunyan  walter wangerin  robert siegel  and hannah hurnard,rolland hein/clyde s. kilby,3.93,9780940895485,eng,303,448,18,12/1/2002,Cornerstone Press Chicago,[]
a house like a lotus (o'keefe family  #3),madeleine l'engle,3.76,9780440936855,eng,307,3976,163,11/1/1985,Dell,['fiction']
the rock that is higher: story as truth,madeleine l'engle,4.12,9780877887263,eng,320,496,48,3/19/2002,Shaw Books,['christianity']
the glorious impossible,madeleine l'engle/giotto di bondone,4.25,9780671686901,eng,64,367,38,9/30/1990,Simon & Schuster Children's Publishing,"['art', 'biography']"
a full house: an austin family christmas (austin family  #5.6),madeleine l'engle/mary chambers,3.98,9780877880202,eng,48,235,4,3/7/2000,Shaw,"['fiction', 'christmas']"
a circle of quiet (crosswicks journals #1),madeleine l'engle,4.21,9780062545039,en-CA,246,5236,506,1/1/1984,HarperOne,['biography']
the birth of tragedy and other writings,friedrich nietzsche/raymond geuss/ronald speirs,4.04,9780521639873,eng,204,388,23,4/22/1999,Cambridge University Press,[]
the birth of tragedy/the genealogy of morals,friedrich nietzsche/francis golffing,4.01,9780385092104,en-US,320,843,42,5/7/1990,Anchor,"['philosophy', 'music', 'tragedy']"
the birth of tragedy,friedrich nietzsche,3.98,9781419154072,eng,84,32,0,6/17/2004,Kessinger Publishing,"['music', 'tragedy', 'theory', 'psychiatry', 'philosophy']"
the birth of tragedy,friedrich nietzsche/michael tanner/shaun whiteside,3.98,9780140433395,en-US,160,10147,301,11/27/2003,Penguin Classics,"['music', 'tragedy', 'theory', 'psychiatry', 'philosophy']"
birth of a tragedy: kashmir 1947,alastair lamb,4.0,9780907129073,eng,179,9,2,3/14/2008,Roxford Books,['history']
the tragedy of pudd'nhead wilson/those extraordinary twins,mark twain/david lionel smith/sherley anne williams,3.79,9780195114157,eng,512,3664,58,3/6/1997,Oxford University Press  USA,['fiction']
the tragedy of pudd'nhead wilson,mark twain/michael prichard,3.79,9781400150687,eng,0,3,0,1/1/2003,Tantor Media,"['fiction', 'classics']"
bridge to terabithia,katherine paterson/donna diamond,4.0,9780060734015,en-US,191,1811,152,7/1/2008,HarperTeen,"['death', 'fiction', 'history', 'school stories', 'classics', 'fantasy']"
literature circle guide: bridge to terabithia: everything you need for successful literature circles that get kids thinking  talking  writing—and loving literature,tara maccarthy,5.0,9780439271714,eng,32,4,1,1/1/2002,Teaching Resources,[]
bread and roses  too,katherine paterson,3.76,9780618654796,eng,275,2018,294,9/4/2006,Clarion Books,"['survival', 'fiction', 'history', 'historical fiction']"
the invisible child,katherine paterson,4.27,9780525464822,eng,266,99,27,12/31/2001,Dutton Juvenile,[]
a short history of decay,emil m. cioran/richard howard,4.25,9781559704649,eng,186,1771,99,9/15/1998,Arcade Publishing,"['philosophy', 'philosophy', 'essays']"
scholar of decay (ravenloft  #14),tanya huff,3.46,9780786902064,eng,313,38,1,5/1/2000,TSR,[]
girl with a pearl earring,tracy chevalier,3.88,9780452284937,eng,233,1162,127,9/30/2003,Plume Books,[]
the golden tulip,rosalind laker,3.94,9780385415606,eng,585,29,4,9/1/1991,Doubleday,"['fiction', 'history']"
burning bright,tracy chevalier,3.36,9780525949787,eng,320,10919,1113,3/20/2007,Dutton,"['fiction', 'historical fiction', 'war', 'history']"
falling angels,tracy chevalier,3.58,9780452283206,eng,336,20321,1214,9/24/2002,Penguin Books,"['fiction', 'history']"
the virgin blue,tracy chevalier,3.66,9780452284449,eng,304,26029,1588,6/24/2003,Penguin Books,['fiction']
wenn engel fallen,tracy chevalier,3.58,9783471772539,ger,384,6,1,2/1/2002,List,[]
tom hunter: living in hell and other stories,tom hunter/tracy chevalier/colin wiggins,3.64,9781857093315,en-GB,80,42,0,3/8/2006,National Gallery London,[]
bleach  volume 15,tite kubo,4.42,9781421506135,eng,208,19945,76,10/3/2006,VIZ Media LLC,[]
bleach  volume 01,tite kubo,4.22,9781591164418,eng,200,140403,1063,5/19/2004,VIZ Media LLC,"['fiction', 'graphic novels', 'supernatural']"
bleach  volume 14,tite kubo,4.38,9781421506128,eng,208,10356,79,8/1/2006,VIZ Media LLC,[]
bleach  volume 11,tite kubo,4.36,9781421502717,eng,208,8773,84,2/7/2006,VIZ Media LLC,"['graphic novels', 'fiction', 'ghost stories', 'supernatural', 'ghosts', 'manga']"
bleach  volume 12,tite kubo,4.36,9781421504032,eng,208,8948,86,4/4/2006,VIZ Media LLC,[]
death note デスノート 1,tsugumi ohba/takeshi obata/大場 つぐみ/小畑 健,4.43,9784088736211,jpn,195,227,38,4/2/2004,集英社,"['death', 'fiction', 'united states']"
death note  vol. 4: 恋心 (death note  #4),tsugumi ohba/takeshi obata,4.39,9784088736716,jpn,204,452,13,11/11/2004,Shueisha,"['death', 'fiction', 'united states']"
death note  vol. 3: 激走 (death note  #3),tsugumi ohba/takeshi obata,4.43,9784088736525,jpn,194,400,11,9/3/2004,Shueisha,"['death', 'fiction']"
love artist (harlequin romance #2860),valerie parv,3.25,9780373028603,eng,187,3,1,7/24/1987,Harlequin Romance,[]
perfume: the story of a murderer,patrick süskind/john e. woods,4.02,9780307277763,eng,255,1124,191,2/13/2001,Vintage International,"['historical fiction', 'psychological thriller', 'dark fantasy', 'murder mystery', 'love', 'fiction']"
das parfum. die geschichte eines mörders,patrick süskind,4.02,9783257228007,ger,321,9674,343,6/1/1994,Diogenes,"['historical fiction', 'psychological thriller', 'dark fantasy', 'murder mystery', 'love', 'fiction']"
three stories and a reflection,patrick süskind,3.57,9780747534938,eng,128,24,3,11/13/1997,Bloomsbury Publishing PLC,[]
the pigeon,patrick süskind,3.68,9780140105834,eng,77,6254,423,6/29/1989,Penguin,[]
the story of mr sommer,patrick süskind/jean-jacques sempé,3.84,9780747566755,eng,128,2061,104,11/3/2003,Not Avail,['fiction']
bleach―ブリーチ― 1 [burīchi 1] (bleach  #1),tite kubo,4.22,9784088732138,jpn,189,41,3,1/5/2002,Shueisha,"['ghosts', 'supernatural']"
bleach  tome 1: the death and the strawberry,tite kubo,4.22,9782723442275,fre,192,54,4,7/2/2003,Glénat,[]
escape from fire mountain (world of adventure  #3),gary paulsen/steve chorney,3.67,9780440410256,eng,80,114,17,1/1/1995,Yearling,['fiction']
how angel peterson got his name,gary paulsen,3.93,9780440229353,eng,111,1177,218,8/10/2004,Yearling,['biography']
tucket's travels: francis tucket's adventures in the west  1847-1849 (the tucket adventures  #1-5),gary paulsen,4.44,9780440419679,en-US,560,557,46,9/9/2003,Yearling,['fiction']
chicago blues: the city and the music,mike  rowe/ronald radano,3.92,9780306801457,eng,226,25,2,8/22/1981,Da Capo Press,['music']
winterdance: the fine madness of running the iditarod,gary paulsen,4.26,9780156001458,eng,272,5437,830,2/17/1995,Mariner Books,['biography']
brian's winter,gary paulsen,4.01,9780385321983,en-US,133,76,12,1/1/1996,Delacorte Books for Young Readers,"['fiction', 'survival']"
robinson crusoe (robinson crusoe #1),daniel defoe/virginia woolf,3.67,9780375757327,eng,320,209122,4131,6/12/2001,Modern Library,"['fiction', 'survival', 'classic literature', 'pirates', 'history', 'poetry']"
robinson crusoe,daniel defoe/john j. richetti,3.67,9780141439822,eng,286,1507,142,3/27/2003,Penguin Classics,"['fiction', 'survival', 'classic literature', 'pirates', 'history', 'poetry']"
robinson crusoe,daniel defoe/michael shinagel,3.67,9780393964523,en-US,436,585,63,12/19/1994,W.W. Norton & Company,"['fiction', 'survival', 'classic literature', 'pirates', 'history', 'poetry']"
robinson crusoe,daniel defoe/avi,3.67,9780689844089,eng,482,204,32,7/1/2001,Aladdin,"['fiction', 'survival', 'classic literature', 'pirates', 'history', 'poetry']"
robinson crusoe,daniel defoe,3.67,9781587263880,eng,288,311,18,7/14/2006,Ann Arbor Media,"['fiction', 'survival', 'classic literature', 'pirates', 'history', 'poetry']"
a general history of the pyrates,daniel defoe/manuel schonhorn/charles   johnson,3.72,9780486404882,eng,733,577,36,1/26/1999,Dover Publications,"['pirates', 'biography']"
huck finn & tom sawyer among the indians & other unfinished stories (mark twain library),mark twain/paul baender/dahlia armon/walter blair,3.85,9780520238954,eng,389,5,0,3/15/2003,University of California Press,['fiction']
huck finn and tom sawyer among the indians,mark twain/lee nelson,3.57,9781555176808,eng,277,242,29,4/22/2003,Council Press,['fiction']
huck finn/pudd'nhead wilson/no 44 mysterious stranger other writings,mark twain/guy cardwell/louis j. budd,4.06,9781883011888,en-US,808,33,3,8/1/2000,Library of America,['fiction']
the adventures of huckleberry finn (adventures of tom and huck  #2),mark twain/guy cardwell/john seelye/walter trier,3.82,9780142437179,eng,327,1049912,11391,12/31/2002,Penguin Classics,"['history', 'humor', 'literature', 'travel', 'literary criticism', 'fiction', 'coming of age', 'historical fiction']"
adventures of huckleberry finn,mark twain/e.w. kemble,3.82,9780486443225,eng,368,144,17,5/6/2005,Dover Publications,"['history', 'humor', 'literature', 'travel', 'literary criticism', 'fiction', 'coming of age', 'historical fiction']"
adventures of huckleberry finn,mark twain/george saunders,3.82,9780375757372,eng,244,687,37,8/14/2001,The Modern Library,"['history', 'humor', 'literature', 'travel', 'literary criticism', 'fiction', 'coming of age', 'historical fiction']"
the annotated huckleberry finn,mark twain/michael patrick hearn/e.w. kemble,3.82,9780393020397,eng,656,185,18,10/17/2001,W. W. Norton  Company,"['history', 'humor', 'literature', 'travel', 'literary criticism', 'fiction', 'coming of age', 'historical fiction']"
the wit and wisdom of mark twain,mark twain,4.2,9780486406640,eng,64,970,53,12/23/1998,Dover Publications,[]
mark twain's helpful hints for good living: a handbook for the damned human race,mark twain/lin salamo/victor fischer/michael b. frank,3.86,9780520242456,eng,221,513,71,10/18/2004,University of California Press,[]
the complete short stories of mark twain,mark twain/charles neider,4.28,9780553211955,eng,848,5710,142,3/1/1984,Bantam Classics,['fiction']
the autobiography of mark twain,mark twain/charles neider,4.05,9780060955427,eng,508,2871,209,11/28/2000,Harper Perennial,"['biography', '19th century']"
collected tales  sketches  speeches  & essays 1891–1910,mark twain/louis j. budd,4.39,9780940450738,eng,1050,207,10,10/15/1992,Library of America,[]
lost horizon,james hilton,3.92,9780060594527,eng,241,11892,955,6/15/2004,Harper Perennial,"['fiction', 'folklore', 'survival', 'fantasy', 'adventure', 'roman', 'travel', 'english literature']"
louisa may alcott's christmas treasury,louisa may alcott/c. michael dudash/stephen w. hines,3.96,9781589199507,eng,282,715,44,6/1/2002,David C Cook,[]
my secret garden: women's sexual fantasies,nancy friday,3.68,9780671019877,eng,361,1817,123,10/28/2003,Pocket Books,"['erotica', 'psychology']"
the secret garden,frances hodgson burnett,4.13,9780517189603,eng,331,764134,11796,9/1/1998,Children's Classics,"['fiction', 'history', 'literature', 'gardening', 'classic literature']"
the secret garden,frances hodgson burnett/sandra m. gilbert,4.13,9780451528834,eng,281,1739,116,7/1/2003,Signet,"['fiction', 'history', 'literature', 'gardening', 'classic literature']"
the secret garden,martha hailey dubose/frances hodgson burnett/lucy corvino/arthur pober,4.33,9781402713194,eng,160,1653,76,3/1/2005,Sterling,"['fiction', 'history']"
the secret garden,frances hodgson burnett/alison lurie,4.13,9780142437056,en-GB,288,517,13,1/30/2003,Penguin Classics,"['fiction', 'history', 'literature', 'gardening', 'classic literature']"
a little princess,frances hodgson burnett/nancy bond,4.2,9780142437018,eng,242,238192,4392,2/26/2002,Penguin Books,"['fiction', 'mathematics']"
waiting for the party: the life of frances hodgson burnett  1849-1924,ann thwaite,3.8,9780879237905,eng,274,23,7,9/1/1994,David R. Godine Publisher,"['biography', 'history']"
the secret garden cookbook: recipes inspired by frances hodgson burnett's the secret garden,amy cotler/frances hodgson burnett/prudence see,4.3,9780060277406,eng,128,150,23,3/19/1999,Festival,['history']
basic economics: a citizen's guide to the economy,thomas sowell,4.32,9780465081455,eng,448,5899,475,12/24/2003,Basic Books,['economics']
basic economics: a common sense guide to the economy,thomas sowell,4.32,9780465002603,eng,627,328,43,4/3/2007,Basic Books (AZ),['economics']
black rednecks and white liberals,thomas sowell,4.38,9781594030864,eng,372,2579,301,6/1/2005,Encounter Books,"['history', 'nonfiction']"
applied economics: thinking beyond stage one,thomas sowell,4.14,9780465081431,eng,256,1546,122,11/13/2003,Basic Books,"['business', 'economics', 'nonfiction']"
knowledge and decisions,thomas sowell,4.39,9780465037384,eng,422,766,47,10/4/1996,Basic Books,[]
a conflict of visions: ideological origins of political struggles,thomas sowell,4.31,9780465081424,eng,304,1797,166,1/3/2002,Basic Books,"['political science', 'philosophy']"
sir gawain and the green knight,selina shirley hastings/juan wijngaard,3.91,9780744520057,eng,29,65,9,6/27/1991,Walker Books Ltd,[]
alcoholics anonymous,alcoholics anonymous,4.45,9780916856595,eng,250,22,0,8/1/1993,Alcoholics Anonymous World Services Inc,[]
the twelve steps & twelve traditions of overeaters anonymous,overeaters anonymous,4.36,9780960989867,en-US,221,213,10,1/1/1993,Overeaters Anonymous  Incorporated,[]
the natural way to draw,kimon nicolaides/mamie harmon,3.9,9780395530078,en-US,240,39369,80,2/1/1990,Mariner Books,"['drawing', 'art']"
natural health  natural medicine,andrew weil,4.11,9780618479030,en-US,448,580,41,12/9/2004,Mariner Books,"['nutrition', 'health', 'medicine']"
the fixer,bernard malamud/jonathan safran foer,3.96,9780374529383,eng,335,8624,409,5/5/2004,Farrar  Straus and Giroux,"['fiction', 'literature', 'historical fiction']"
the complete stories,bernard malamud/robert giroux,4.22,9780374525750,en-US,656,712,51,10/12/1998,Farrar  Straus and Giroux,[]
the assistant,bernard malamud/jonathan rosen,3.89,9780374504847,en-US,246,8073,319,7/7/2003,Farrar Straus and Giroux,"['fiction', 'new york']"
conversations with bernard malamud (literary conversations),lawrence m. lasher,4.0,9780878054909,eng,184,4,0,3/1/1991,University Press of Mississippi,['fiction']
the tenants,bernard malamud/aleksandar hemon,3.65,9780374521028,eng,248,662,50,9/18/2003,Farrar  Straus and Giroux,['fiction']
enchanted april: acting edition,matthew barber/elizabeth von arnim,3.61,9780822219750,eng,73,67,6,4/7/2004,Dramatists Play Service,['drama']
april  may und june,elizabeth von arnim,3.88,9783458334224,ger,88,0,0,4/1/1995,Insel  Frankfurt,['nursery rhymes']
a room with a view,e.m. forster,3.91,9781420925432,eng,119,128596,3422,1/1/2005,Digireads.com,"['fiction', 'travel', 'love', 'romance', 'historical fiction', 'classic literature', 'classics']"
a room with a view / howards end,e.m. forster/benjamin demott,4.1,9780451521415,eng,449,2450,113,2/4/1986,Signet,[]
e.m. forster: critical guidebook,lionel trilling/e.m. forster,3.51,9780811202107,eng,208,6,0,1/17/1971,New Directions,[]
the longest journey,e.m. forster/gilbert adair/elizabeth heine,3.48,9780141441481,eng,396,1665,125,7/27/2006,Penguin Classics,"['fiction', 'marriage', 'classic literature']"
howards end,e.m. forster,3.96,9780486424545,eng,246,54765,1437,10/29/2002,Dover Publications,"['fiction', 'classic literature', 'historical fiction', 'romance', 'english literature', 'literary criticism']"
maurice,e.m. forster,4.03,9780393310320,eng,256,21997,1005,12/17/2005,W. W. Norton  Company,"['fiction', 'coming of age', 'english literature']"
e. m. forster: a life,p.n. furbank,4.14,9780156286510,eng,648,141,11,5/2/1994,Mariner Books,['biography']
the sixteen pleasures,robert hellenga,3.59,9780385314695,eng,384,2699,336,5/1/1995,Delta,"['mystery', 'fiction']"
revolutionary characters: what made the founders different,gordon s. wood,3.97,9781594200939,eng,336,3259,187,5/18/2006,Penguin Press HC  The,"['biography', 'history']"
the rescue (kidnapped  #3),gordon korman,4.11,9780439847797,eng,140,1864,117,9/1/2006,Scholastic Books,"['fiction', 'united states']"
hunting the hunter (on the run  #6),gordon korman,4.21,9780439651417,eng,151,1928,85,2/1/2006,Scholastic,['fiction']
public enemies (on the run  #5),gordon korman,4.19,9780439651400,eng,150,2050,76,12/1/2005,Scholastic,['fiction']
runaway bride,deborah  gordon,4.25,9780380777587,eng,390,8,0,9/28/1994,Avon,['fiction']
the bridge over the drina,ivo andrić/william h. mcneill,4.33,9781860460586,eng,314,254,35,4/5/1995,The Harvill Press,"['history', 'fiction']"
drina dances in paris,jean estoril,4.16,9780750000338,eng,194,14,4,4/1/1991,Simon and Schuster,[]
drina ballerina,jean estoril,4.16,9780750005944,eng,188,8,1,1/17/1991,Hodder,[]
le pont sur la drina,ivo andrić/pascale delpech,4.33,9782253933212,fre,384,69,10,7/5/1999,Livre de Poche,"['history', 'fiction']"
drina dances in italy,jean estoril,4.08,9780750012638,eng,191,21,0,8/31/1992,Hodder,[]
drina goes on tour,jean estoril/mabel esther allan,4.26,9780750002462,eng,188,112,7,10/20/1991,Simon and Schuster,[]
drina dances in madeira,jean estoril/mabel esther allan,4.09,9780750002424,eng,164,139,6,2/6/1991,Simon and Schuster,[]
phaedrus/apology/crito/symposium,plato/benjamin jowett,3.0,9781420926842,en-US,144,19,0,1/1/2006,Digireads.com,[]
the dialogues of plato  volume 1: euthyphro  apology  crito  meno  gorgias  menexenus,plato/reginald e. allen,4.17,9780300044881,eng,352,114,11,9/10/1989,Yale University Press,[]
gorgias/timaeus,plato/benjamin jowett,3.74,9780486427591,eng,256,34,5,7/15/2003,Dover Publications,[]
minor works: on colours/on things heard/physiognomics/on plants/on marvellous things heard/mechanical problems/on indivisible lines/the...gorgias,aristotle/w.s. hett,4.57,9780674993389,grc,528,14,0,6/28/1963,Loeb Classical Library 307,[]
aristophanes i: clouds/wasps/birds,aristophanes/peter meineck/ian c. storey,3.77,9780872203600,eng,480,100,9,9/1/1998,Hackett Publishing Company  Inc. (USA),"['drama', 'birds']"
the trojan women,euripides/gilbert murray,3.89,9781420927320,eng,80,4577,126,1/1/2006,Digireads.com,[]
greek tragedies  volume 2,david grene/richmond lattimore/aeschylus/sophocles/euripides,4.29,9780226307756,eng,304,327,12,2/15/1960,University Of Chicago Press,[]
moloka'i (moloka'i #1),alan brennert,4.17,9780312304355,eng,405,91395,8192,10/4/2004,St. Martin's Griffin,['fiction']
teaching with the brain in mind,eric jensen,4.11,9781416600305,eng,186,592,49,6/15/2005,Association for Supervision & Curriculum Development,"['education', 'neuroscience', 'teaching', 'brain']"
introducing mind and brain (introducing...),angus gellatly/oscar zárate/richard appignanesi,3.54,9781840466386,en-GB,176,26,1,5/10/2001,Totem Books,[]
eva luna,isabel allende/margaret sayers peden,3.97,9780553383829,eng,320,430,23,8/30/2005,Dial Press,"['fiction', 'short stories']"
the stories of eva luna,isabel allende,3.97,9780743217187,eng,352,12839,375,11/13/2001,Scribner,"['fiction', 'short stories']"
diez cuentos de eva luna con guia de comprension y repaso de gramatica,isabel allende/richard d. woods/kenneth m. taggart,3.97,9780070013568,eng,256,10,1,12/1/1994,McGraw-Hill Humanities/Social Sciences/Languages,"['fiction', 'short stories']"
el bosque de los pigmeos,isabel allende,3.77,9780060816193,spa,304,1099,46,9/6/2005,HarperCollins Espanol,['fiction']
inés of my soul,isabel allende/margaret sayers peden,3.93,9780061161537,eng,321,15345,1075,11/7/2006,Harper,"['fiction', 'historical fiction', 'history']"
la casa de los espíritus,isabel allende,4.23,9780060951306,spa,454,608,38,9/18/2001,HarperCollins Espanol,"['magical realism', 'fiction', 'family', 'love', 'spanish literature', 'historical']"
el plan infinito,isabel allende,3.72,9780060951276,spa,336,514,33,5/14/2002,Harper Perennial,"['fiction', 'poverty']"
el reino del dragón de oro,isabel allende,3.84,9780060591717,spa,432,1189,51,9/7/2004,HarperCollins Espanol,"['fiction', 'buddhism', 'fantasy', 'science fiction', 'supernatural']"
city of the beasts (eagle and jaguar  #1),isabel allende/margaret sayers peden,3.71,9780060535032,eng,408,17962,778,4/27/2004,Rayo,"['fiction', 'supernatural', 'native americans', 'nature']"
self,yann martel,3.43,9780571219766,eng,331,2359,146,4/7/2003,Faber  Faber,['fiction']
die brücke über die drina,ivo andrić/ernst e. jonas,4.33,9783518399606,ger,407,9,0,3/1/2003,Suhrkamp,[]
drina dances in switzerland,jean estoril/jenny sanders,4.02,9780750002448,eng,188,13,1,8/23/1993,Hodder Children's Books,[]
the story of salt,mark kurlansky/s.d. schindler,4.08,9780399239984,eng,48,382,85,9/7/2006,G.P. Putnam's Sons Books for Young Readers,['history']
nonviolence: twenty-five lessons from the history of a dangerous idea,mark kurlansky/dalai lama xiv,4.0,9780679643357,eng,203,768,96,9/12/2006,Modern Library,"['nonfiction', 'history']"
boogaloo on 2nd avenue,mark kurlansky,3.17,9780345448194,eng,319,191,26,2/28/2006,Random House Trade,['fiction']
cod: a biography of the fish that changed the world,mark kurlansky,3.91,9780140275018,eng,294,970,104,7/1/1998,Penguin Books,"['history', 'nonfiction']"
1968: the year that rocked the world,mark kurlansky,3.78,9780345455826,eng,480,2046,248,1/11/2005,Random House Trade Paperbacks,"['nonfiction', 'history']"
a chosen few: the resurrection of european jewry (reader's circle),mark kurlansky,3.87,9780345448149,eng,456,51,2,3/26/2002,Ballantine Books,"['biography', 'history', 'nonfiction']"
the basque history of the world: the story of a nation,mark kurlansky,3.85,9780140298512,eng,400,3457,329,2/1/2001,Penguin Books,"['history', 'nonfiction']"
the cod's tale,mark kurlansky/s.d. schindler,3.91,9780399234767,eng,48,127,25,9/10/2001,G.P. Putnam's Sons Books for Young Readers,['history']
open city 6: the only woman he ever left,open city magazine/james purdy/daniel pinchbeck/michael cunningham/deborah garrison/rem koolhaas/rick moody/strawberry saroyan/debra garrison,0.0,9781890447175,eng,200,0,0,10/13/2000,Grove Press  Open City Books,['short stories']
harry potter y la piedra filosofal (harry potter  #1),j.k. rowling,4.47,9780613359603,spa,254,142,12,3/6/2001,Turtleback Books,"['ghosts', 'monsters', 'vampires', 'witches', 'school stories', 'magic', 'fiction', 'alchemy', 'fantasy', 'english literature', 'mystery', 'roman', 'adventure', 'supernatural']"
angle of repose,wallace stegner/jackson j. benson,4.27,9780141185477,eng,557,856,146,12/1/2000,Penguin Classics,"['fiction', 'literature', 'classic literature', 'family']"
don't make me think: a common sense approach to web usability,steve krug,4.25,9780321344755,en-US,201,7736,641,8/28/2005,New Riders Publishing,"['design', 'internet', 'writing']"
